status	time	energy	
Optimal	0.08	158	
Optimal	0.09	158	
Optimal	0.08	158	
Optimal	0.09	158	
Optimal	0.07	158	
Optimal	0.08	158	
Optimal	0.09	158	
Optimal	0.09	158	
Optimal	0.08	158	
Optimal	0.07	158	
Optimal	0.023	191	
Optimal	0.025	191	
Optimal	0.024	191	
Optimal	0.022	191	
Optimal	0.022	191	
Optimal	0.023	191	
Optimal	0.021	191	
Optimal	0.022	191	
Optimal	0.022	191	
Optimal	0.021	191	
Optimal	0.022	191	
Optimal	0.022	191	
Optimal	0.022	191	
Optimal	0.023	191	
Optimal	0.021	191	
Optimal	0.022	191	
Optimal	0.021	191	
Optimal	0.021	191	
Optimal	0.022	191	
Optimal	0.021	191	
Optimal	0.025	191	
Optimal	0.02	191	
Optimal	0.021	191	
Optimal	0.021	191	
Optimal	0.021	191	
Optimal	0.021	191	
Optimal	0.021	191	
Optimal	0.021	191	
Optimal	0.02	191	
Optimal	0.023	191	
Optimal	0.021	191	
Optimal	0.021	191	
Optimal	0.022	191	
Optimal	0.022	191	
Optimal	0.021	191	
Optimal	0.022	191	
Optimal	0.021	191	
Optimal	0.022	191	
Optimal	0.022	191	
Optimal	0.021	191	
Optimal	0.021	191	
Optimal	0.021	191	
Optimal	0.022	191	
Optimal	0.023	191	
Optimal	0.022	191	
Optimal	0.033	191	
Optimal	0.021	191	
Optimal	0.022	191	
Optimal	0.022	191	
Optimal	0.022	191	
Feasible	0.022	216	
Feasible	0.023	216	
Feasible	0.022	216	
Feasible	0.022	216	
Feasible	0.023	216	
Feasible	0.022	216	
Feasible	0.022	216	
Feasible	0.024	216	
Feasible	0.023	216	
Feasible	0.024	216	
