status	time	energy	
Optimal	9.46	264	
Optimal	8.85	264	
Optimal	8.79	264	
Optimal	8.85	264	
Optimal	8.87	264	
Optimal	8.92	264	
Optimal	8.9	264	
Optimal	8.92	264	
Optimal	8.86	264	
Optimal	8.86	264	
Optimal	1.471	264	
Optimal	1.504	264	
Optimal	1.436	264	
Optimal	1.555	264	
Optimal	1.521	264	
Optimal	1.54	264	
Optimal	1.513	264	
Optimal	1.603	264	
Optimal	1.538	264	
Optimal	1.524	264	
Optimal	1.608	264	
Optimal	1.551	264	
Optimal	1.484	264	
Optimal	1.522	264	
Optimal	1.595	264	
Optimal	1.498	264	
Optimal	1.541	264	
Optimal	1.521	264	
Optimal	1.525	264	
Optimal	1.535	264	
Optimal	1.542	264	
Optimal	1.65	264	
Optimal	1.522	264	
Optimal	1.54	264	
Optimal	1.525	264	
Optimal	1.57	264	
Optimal	1.567	264	
Optimal	1.46	264	
Optimal	1.509	264	
Optimal	1.66	264	
Optimal	1.594	264	
Optimal	1.624	264	
Optimal	1.512	264	
Optimal	1.583	264	
Optimal	1.556	264	
Optimal	1.563	264	
Optimal	1.484	264	
Optimal	1.586	264	
Optimal	1.666	264	
Optimal	1.606	264	
Optimal	1.574	264	
Optimal	1.549	264	
Optimal	1.592	264	
Optimal	1.582	264	
Optimal	1.47	264	
Optimal	1.615	264	
Optimal	1.541	264	
Optimal	1.529	264	
Optimal	1.491	264	
Optimal	1.485	264	
