status	time	energy	
Optimal	0.018	130	
Optimal	0.017	130	
Optimal	0.017	130	
Optimal	0.017	130	
Optimal	0.017	130	
Optimal	0.017	130	
Optimal	0.016	130	
Optimal	0.017	130	
Optimal	0.017	130	
Optimal	0.017	130	
Optimal	0.016	130	
Optimal	0.016	130	
Optimal	0.017	130	
Optimal	0.015	130	
Optimal	0.016	130	
Optimal	0.016	130	
Optimal	0.016	130	
Optimal	0.016	130	
Optimal	0.016	130	
Optimal	0.016	130	
Optimal	0.016	130	
Optimal	0.017	130	
Optimal	0.017	130	
Optimal	0.015	130	
Optimal	0.016	130	
Optimal	0.016	130	
Optimal	0.016	130	
Optimal	0.017	130	
Optimal	0.016	130	
Optimal	0.018	130	
Optimal	0.018	130	
Optimal	0.017	130	
Optimal	0.02	130	
Optimal	0.018	130	
Optimal	0.017	130	
Optimal	0.019	130	
Optimal	0.017	130	
Optimal	0.016	130	
Optimal	0.016	130	
Optimal	0.016	130	
Optimal	0.017	130	
Optimal	0.016	130	
Optimal	0.016	130	
Optimal	0.016	130	
Optimal	0.016	130	
Optimal	0.017	130	
Optimal	0.023	130	
Optimal	0.018	130	
Optimal	0.016	130	
Optimal	0.018	130	
Optimal	0.017	130	
Optimal	0.018	130	
Optimal	0.017	130	
Optimal	0.018	130	
Optimal	0.017	130	
Feasible	0.016	178	
Feasible	0.017	178	
Feasible	0.017	178	
Feasible	0.016	178	
Feasible	0.017	178	
Feasible	0.017	178	
Feasible	0.017	178	
Feasible	0.017	178	
Feasible	0.017	178	
Feasible	0.017	178	
