status	time	energy	
Optimal	0.03	76	
Optimal	0.04	76	
Optimal	0.04	76	
Optimal	0.03	76	
Optimal	0.03	76	
Optimal	0.03	76	
Optimal	0.02	76	
Optimal	0.03	76	
Optimal	0.03	76	
Optimal	0.02	76	
Optimal	0.009	90	
Optimal	0.009	90	
Optimal	0.01	90	
Optimal	0.009	90	
Optimal	0.009	90	
Optimal	0.01	90	
Optimal	0.01	90	
Optimal	0.009	90	
Optimal	0.009	90	
Optimal	0.009	90	
Optimal	0.009	90	
Optimal	0.011	90	
Optimal	0.011	90	
Optimal	0.009	90	
Optimal	0.009	90	
Optimal	0.01	90	
Optimal	0.009	90	
Optimal	0.009	90	
Optimal	0.009	90	
Optimal	0.009	90	
Optimal	0.008	90	
Optimal	0.009	90	
Optimal	0.008	90	
Optimal	0.01	90	
Optimal	0.01	90	
Optimal	0.009	90	
Optimal	0.009	90	
Optimal	0.009	90	
Optimal	0.009	90	
Optimal	0.009	90	
Optimal	0.009	90	
Optimal	0.01	90	
Optimal	0.009	90	
Optimal	0.01	90	
Optimal	0.01	90	
Optimal	0.009	90	
Optimal	0.01	90	
Optimal	0.009	90	
Optimal	0.009	90	
Optimal	0.011	90	
Optimal	0.01	90	
Optimal	0.009	90	
Optimal	0.01	90	
Optimal	0.01	90	
Optimal	0.01	90	
Optimal	0.009	90	
Optimal	0.01	90	
Optimal	0.009	90	
Optimal	0.01	90	
Optimal	0.009	90	
Optimal	0.01	90	
Optimal	0.009	90	
Optimal	0.01	90	
Optimal	0.009	90	
Optimal	0.01	90	
Feasible	0.005	90	
Feasible	0.005	90	
Feasible	0.005	90	
Feasible	0.004	90	
Feasible	0.005	90	
Feasible	0.004	90	
Feasible	0.005	90	
Feasible	0.004	90	
Feasible	0.004	90	
Feasible	0.005	90	
