status	time	energy	
Optimal	0.06	88	
Optimal	0.04	88	
Optimal	0.05	88	
Optimal	0.06	88	
Optimal	0.05	88	
Optimal	0.04	88	
Optimal	0.05	88	
Optimal	0.06	88	
Optimal	0.06	88	
Optimal	0.05	88	
Optimal	0.016	88	
Optimal	0.014	88	
Optimal	0.013	88	
Optimal	0.014	88	
Optimal	0.014	88	
Optimal	0.014	88	
Optimal	0.013	88	
Optimal	0.013	88	
Optimal	0.013	88	
Optimal	0.013	88	
Optimal	0.013	88	
Optimal	0.016	88	
Optimal	0.015	88	
Optimal	0.014	88	
Optimal	0.014	88	
Optimal	0.013	88	
Optimal	0.013	88	
Optimal	0.012	88	
Optimal	0.013	88	
Optimal	0.012	88	
Optimal	0.013	88	
Optimal	0.012	88	
Optimal	0.013	88	
Optimal	0.013	88	
Optimal	0.014	88	
Optimal	0.013	88	
Optimal	0.014	88	
Optimal	0.013	88	
Optimal	0.012	88	
Optimal	0.013	88	
Optimal	0.013	88	
Optimal	0.013	88	
Optimal	0.012	88	
Optimal	0.013	88	
Optimal	0.013	88	
Optimal	0.014	88	
Optimal	0.013	88	
Optimal	0.013	88	
Optimal	0.012	88	
Optimal	0.013	88	
Optimal	0.014	88	
Optimal	0.013	88	
Optimal	0.013	88	
Optimal	0.013	88	
Optimal	0.012	88	
Optimal	0.013	88	
Optimal	0.013	88	
Optimal	0.013	88	
Optimal	0.013	88	
Optimal	0.013	88	
Optimal	0.013	88	
Optimal	0.013	88	
Optimal	0.013	88	
Optimal	0.013	88	
Optimal	0.013	88	
