status	time	energy	
Feasible	0.323	4224	
Feasible	0.326	4224	
Feasible	0.319	4224	
Feasible	0.32	4224	
Feasible	0.324	4224	
Feasible	0.347	4224	
Feasible	0.325	4224	
Feasible	0.338	4224	
Feasible	0.324	4224	
Feasible	0.341	4224	
Feasible	0.328	4224	
Feasible	0.333	4224	
Feasible	0.325	4224	
Feasible	0.35	4224	
Feasible	0.353	4224	
Feasible	5.025	4224	
Feasible	5.047	4224	
Feasible	5.026	4224	
Feasible	5.039	4224	
Feasible	5.005	4224	
Feasible	5.047	4224	
Feasible	5.051	4224	
Feasible	5.049	4224	
Feasible	5.005	4224	
Feasible	5.048	4224	
Feasible	5.051	4224	
Feasible	5.009	4224	
Feasible	5.011	4224	
Feasible	5.047	4224	
Feasible	5.035	4224	
