status	time	energy	
Feasible	0.71	1705	
Feasible	0.681	1705	
Feasible	0.672	1705	
Feasible	0.654	1705	
Feasible	0.688	1705	
Feasible	0.671	1705	
Feasible	0.698	1705	
Feasible	0.686	1705	
Feasible	0.672	1705	
Feasible	0.653	1705	
Feasible	0.687	1705	
Feasible	0.641	1705	
Feasible	0.666	1705	
Feasible	0.675	1705	
Feasible	0.649	1705	
Feasible	10.102	1158	
Feasible	10.079	1158	
Feasible	10.106	1158	
Feasible	10.08	1158	
Feasible	10.008	1158	
Feasible	10.008	1158	
Feasible	10.1	1158	
Feasible	10.012	1158	
Feasible	10.007	1158	
Feasible	10.104	1158	
Feasible	10.007	1158	
Feasible	10.097	1158	
Feasible	10.02	1158	
Feasible	10.036	1158	
Feasible	10.083	1158	
