status	time	energy	
Feasible	9.17	8025	
Feasible	9.631	8025	
Feasible	9.736	8025	
Feasible	9.793	8025	
Feasible	9.663	8025	
Feasible	9.707	8025	
Feasible	9.225	8025	
Feasible	9.322	8025	
Feasible	9.189	8025	
Feasible	9.258	8025	
Feasible	9.258	8025	
Feasible	9.178	8025	
Feasible	9.307	8025	
Feasible	9.256	8025	
Feasible	9.093	8025	
Feasible	10.061	8025	
Feasible	10.094	8025	
Feasible	10.122	8025	
Feasible	10.116	8025	
Feasible	10.134	8025	
Feasible	10.014	8025	
Feasible	10.062	8025	
Feasible	10.027	8025	
Feasible	10.062	8025	
Feasible	10.03	8025	
Feasible	10.075	8025	
Feasible	10.012	8025	
Feasible	10.103	8025	
Feasible	10.009	8025	
Feasible	10.11	8025	
