status	time	energy	
Feasible	0.044	704	
Feasible	0.039	704	
Feasible	0.039	704	
Feasible	0.039	704	
Feasible	0.042	704	
Feasible	0.044	704	
Feasible	0.044	704	
Feasible	0.045	704	
Feasible	0.044	704	
Feasible	0.04	704	
Feasible	0.038	704	
Feasible	0.042	704	
Feasible	0.044	704	
Feasible	0.04	704	
Feasible	0.039	704	
Feasible	5.009	704	
Feasible	5.004	704	
Feasible	5.006	704	
Feasible	5.001	704	
Feasible	5.004	704	
Feasible	5.005	704	
Feasible	5.01	704	
Feasible	5.006	704	
Feasible	5.008	704	
Feasible	5.007	704	
Feasible	5.009	704	
Feasible	5.006	704	
Feasible	5.001	704	
Feasible	5.008	704	
Feasible	5.003	704	
