status	time	energy	
Feasible	0.114	948	
Feasible	0.112	948	
Feasible	0.115	948	
Feasible	0.116	948	
Feasible	0.117	948	
Feasible	0.121	948	
Feasible	0.113	948	
Feasible	0.117	948	
Feasible	0.115	948	
Feasible	0.121	948	
Feasible	0.118	948	
Feasible	0.11	948	
Feasible	0.114	948	
Feasible	0.112	948	
Feasible	0.11	948	
Feasible	5.013	486	
Feasible	5.011	486	
Feasible	5.02	486	
Feasible	5.003	486	
Feasible	5.012	486	
Feasible	5.016	486	
Feasible	5.02	486	
Feasible	5.02	486	
Feasible	5.024	486	
Feasible	5.019	486	
Feasible	5.019	486	
Feasible	5.009	486	
Feasible	5.021	486	
Feasible	5.02	486	
Feasible	5.02	486	
